metric_id,metric_unit,asset_id,opc_ns,opc_id,notes
053A0LBD07CP901XQ01,bar,kgw,4,053 A0 LBD07 CP901%#_#%%#_#%XQ01,external - bar
053A0LBD07CP901XQ01,bar,kgw,4,053 A0 LBD07 CP901%#_#%XQ01%#_#%OUT,external - bar
053A0LBD27AA001XQ01,%,kgw,4,053 A0 LBD27 AA001%#_#%%#_#%XQ01,external - %
053A5MKY40CE002XQ01,MW,kgw,4,053 A5 MKY40 CE002%#_#%%#_#%XQ01,DT4 ACTV-POW GEN - MW
080A0LBD05AA025XB01,bar,kgw,4,080 A0 LBD05 AA025%#_#%%#_#%XB01,external - Verb-Schieber 25 bar Ltg.
080A0LBD05AA025XQ01,%,kgw,4,080 A0 LBD05 AA025%#_#%%#_#%XQ01,external - %
120A0AEA02CE016XQ01,A,kgw,4,120_A0_AEA02_CE016%#_#%%#_#%XQ01,Total Power Import - A
120A0AEA04CE016XQ01,A,kgw,4,120_A0_AEA04_CE016%#_#%%#_#%XQ01,Power Export - A
120A0BBA00CE901XQ01,MW,kgw,4,120_A0_BBA00_CE901%#_#%%#_#%XQ01,Power Consumption - MW
120A0BBA04CE000XQ01,MW,kgw,4,120_A0_BBA04_CE000%#_#%%#_#%XQ01,DSM Power Import - MW
120A0BBA05CE000XQ01,MW,kgw,4,120_A0_BBA05_CE000%#_#%%#_#%XQ01,BASF Power Import - MW
120A0GHC22AA001AXQ01,%,kgw,4,120 A0 GHC22 AA001A%#_#%%#_#%XQ01,external - %
120A0GHC22CF001XQ01,t/h,kgw,4,120 A0 GHC22 CF001%#_#%%#_#%XQ01,external - t/h
120A0HHG01CP001AXQ01,bar,kgw,4,120 A0 HHG01 CP001A%#_#%%#_#%XQ01,external - bar
120A0HHG01CT001AXQ01,°C,kgw,4,120 A0 HHG01 CT001A%#_#%%#_#%XQ01,external - °C
120A0LAA00EE001XA31,,kgw,4,120 A0 LAA00 EE001%#_#%NEU%#_#%XA31,external
120A0LAA00EE001XA32,,kgw,4,120 A0 LAA00 EE001%#_#%NEU%#_#%XA32,external
120A0LAA00EE001XA33,,kgw,4,120 A0 LAA00 EE001%#_#%NEU%#_#%XA33,external
120A0LAA00EE001XA89,,kgw,4,120 A0 LAA00 EE001%#_#%%#_#%XA89,external
120A0LAA20CL001XQ01,%,kgw,4,120 A0 LAA20 CL001%#_#%%#_#%XQ01,external - %
120A0LAA20DL001XD,%,kgw,4,120 A0 LAA20 DL001%#_#%%#_#%XD,external - %
120A0LAA20DP001XD,%,kgw,4,120 A0 LAA20 DP001%#_#%%#_#%XD,external - %
120A0LAA40CP001XQ01,bar,kgw,4,120 A0 LAA40 CP001%#_#%%#_#%XQ01,external - bar
120A0LAB60CP701XQ01,bar,kgw,4,120 A0 LAB60 CP701%#_#%%#_#%XQ01,external - bar
120A0LAB70CP701XQ01,bar,kgw,4,120 A0 LAB70 CP701%#_#%%#_#%XQ01,external - bar
120A0LBE13AA001AXQ01,%,kgw,4,120 A0 LBE13 AA001A%#_#%%#_#%XQ01,external - %
120A0LBE21AA001AXQ01,%,kgw,4,120 A0 LBE21 AA001A%#_#%%#_#%XQ01,external - %
120A0LBE21AA001XQ01_HW,%,kgw,4,120 A0 LBE21 AA001%#_#%%#_#%XQ01_HW,external - %
120A0LBE21CP001XQ01,bar,kgw,4,120 A0 LBE21 CP001%#_#%%#_#%XQ01,7bar West P STM - bar
120A0LBE21CT901ZQ12,°C,kgw,4,120 A0 LBE21 CT901%#_#%%#_#%ZQ12,7bar West T STM - °C
120A0LBE21FF001XQ01,t/h,kgw,4,120 A0 LBE21 FF001%#_#%%#_#%XQ01,7bar West STM-F - t/h
120A0QUA20CQ001XQ01,µS/cm,kgw,4,120 A0 QUA20 CQ001%#_#%%#_#%XQ01,external - µS/cm
120A0QUA20CQ002XQ01,PH,kgw,4,120 A0 QUA20 CQ002%#_#%%#_#%XQ01,external - PH
120A0QUA20CQ003XQ01,µS/cm,kgw,4,120 A0 QUA20 CQ003%#_#%%#_#%XQ01,external - µS/cm
120A6HAD01CP001XQ01,bar,kgw,4,120 A6 HAD01 CP001%#_#%%#_#%XQ01,K6 P STM - bar
120A6HHG01CF001XQ01,Bm³/h,kgw,4,120 A6 HHG01 CF001%#_#%%#_#%XQ01,external - Bm³/h
120A6LBA01CT001BXQ01,°C,kgw,4,120 A6 LBA01 CT001B%#_#%%#_#%XQ01,external - °C
120A6LBA01CT001XQ01,°C,kgw,4,120 A6 LBA01 CT001%#_#%%#_#%XQ01,K6 T STM - °C
120A6LBA01FF001XQ01,t/h,kgw,4,120 A6 LBA01 FF001%#_#%%#_#%XQ01,K6 STM-F - t/h
